n=120, m=8, U=3.432961, f=0.15, E=9815.65
n=120, m=8, U=3.584277, f=0.15, E=10194.23
n=120, m=8, U=3.657552, f=0.15, E=10347.28
n=120, m=8, U=3.626359, f=0.15, E=10318.69
n=120, m=8, U=3.395153, f=0.15, E=9909.65
n=120, m=8, U=3.557217, f=0.15, E=10333.17
n=120, m=8, U=3.789154, f=0.15, E=10647.14
n=88, m=8, U=3.385056, f=0.16, E=9442.09
n=88, m=8, U=3.698866, f=0.16, E=10178.76
n=88, m=8, U=3.475426, f=0.16, E=9564.08
n=88, m=8, U=3.700342, f=0.16, E=10358.36
n=88, m=8, U=3.623217, f=0.16, E=10115.46
n=88, m=8, U=3.724233, f=0.16, E=10326.68
n=88, m=8, U=3.548509, f=0.16, E=9890.51
n=88, m=8, U=3.447715, f=0.16, E=9824.03
n=88, m=8, U=3.445505, f=0.16, E=9561.33
n=88, m=8, U=3.822237, f=0.16, E=10444.29
n=104, m=8, U=3.620433, f=0.16, E=10275.74
n=104, m=8, U=3.490043, f=0.16, E=9720.32
n=104, m=8, U=3.460842, f=0.16, E=9750.38
n=104, m=8, U=3.502909, f=0.16, E=9798.20
n=104, m=8, U=3.752567, f=0.16, E=10601.69
n=104, m=8, U=3.783503, f=0.16, E=10722.13
n=104, m=8, U=3.447096, f=0.16, E=9546.94
n=104, m=8, U=3.753781, f=0.16, E=10686.30
n=104, m=8, U=3.415151, f=0.16, E=9660.66
